2019-03-06 10:44:23  django.db.backends  DEBUG  [91]   (0.007) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-03-06 10:44:23  django.db.backends  DEBUG  [91]   (0.007) SELECT VERSION(); args=None
2019-03-06 10:44:23  django.db.backends  DEBUG  [91]   (0.007) SHOW FULL TABLES; args=None
2019-03-06 10:44:23  django.db.backends.schema  DEBUG  [111]   CREATE TABLE `django_migrations` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `app` varchar(255) NOT NULL, `name` varchar(255) NOT NULL, `applied` datetime(6) NOT NULL); (params None)
2019-03-06 10:44:23  django.db.backends  DEBUG  [91]   (0.023) CREATE TABLE `django_migrations` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `app` varchar(255) NOT NULL, `name` varchar(255) NOT NULL, `applied` datetime(6) NOT NULL); args=None
2019-03-06 10:44:23  django.db.backends  DEBUG  [91]   (0.007) SELECT engine FROM information_schema.tables WHERE table_name = 'django_migrations'; args=['django_migrations']
2019-03-06 10:44:23  django.db.backends  DEBUG  [91]   (0.007) SELECT engine FROM information_schema.tables WHERE table_name = 'django_migrations'; args=['django_migrations']
2019-03-06 10:44:23  django.db.backends  DEBUG  [91]   (0.006) SELECT engine FROM information_schema.tables WHERE table_name = 'django_migrations'; args=['django_migrations']
2019-03-06 10:44:23  django.db.backends  DEBUG  [91]   (0.007) SELECT engine FROM information_schema.tables WHERE table_name = 'django_migrations'; args=['django_migrations']
2019-03-06 10:44:23  django.db.backends  DEBUG  [91]   (0.007) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2019-03-06 11:00:29  django.db.backends  DEBUG  [91]   (0.009) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-03-06 11:00:29  django.db.backends  DEBUG  [91]   (0.009) SELECT VERSION(); args=None
2019-03-06 11:00:54  django.db.backends  DEBUG  [91]   (0.009) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-03-06 11:00:54  django.db.backends  DEBUG  [91]   (0.011) SELECT VERSION(); args=None
2019-03-06 11:01:03  django.db.backends  DEBUG  [91]   (0.008) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-03-06 11:01:03  django.db.backends  DEBUG  [91]   (0.007) SELECT VERSION(); args=None
2019-03-06 11:04:53  django.db.backends  DEBUG  [91]   (0.008) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-03-06 11:04:53  django.db.backends  DEBUG  [91]   (0.008) SELECT VERSION(); args=None
2019-03-06 11:04:54  django.db.backends  DEBUG  [91]   (0.011) SHOW FULL TABLES; args=None
2019-03-06 11:04:54  django.db.backends  DEBUG  [91]   (0.009) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2019-03-06 11:06:33  django.db.backends  DEBUG  [91]   (0.007) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-03-06 11:06:33  django.db.backends  DEBUG  [91]   (0.006) SELECT VERSION(); args=None
2019-03-06 11:06:33  django.db.backends  DEBUG  [91]   (0.009) SHOW FULL TABLES; args=None
2019-03-06 11:06:33  django.db.backends  DEBUG  [91]   (0.008) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2019-03-06 11:36:51  django.db.backends  DEBUG  [91]   (0.007) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-03-06 11:36:51  django.db.backends  DEBUG  [91]   (0.006) SELECT VERSION(); args=None
2019-03-06 11:36:54  django.db.backends  DEBUG  [91]   (0.007) SHOW FULL TABLES; args=None
2019-03-06 11:36:54  django.db.backends  DEBUG  [91]   (0.009) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
